(2.8489980888540325,2.7198627429511433)
(2.6673685562080216,2.4380540862637123)
(2.7798524709095607,2.086417095595835)
(2.5393391637910154,2.425520834476793)
(2.8279233043080887,2.511880601568298)
(2.5026481609654203,2.0893879348443045)
(4.623348266203004,4.58543821074331)
(4.73085207979968,4.264645756684185)
(4.918080882566697,4.89659684921196)
(6.222918158380375,6.163482050519955)
(6.630028064160687,6.155707173260085)
(6.994190168153216,6.118700614582142)
(6.6152859837259435,6.173781940268984)
(6.998282759219202,6.081790885308357)
(8.979190773868744,8.071719667518986)
(8.714690007879952,8.709812847743425)
(8.377775025899,8.19789184810981)
(8.910689857604028,8.283546010186377)
(8.853661559045033,8.403439491724287)
(8.836341300210357,8.613729367738562)
(8.378649144851815,8.091864255523525)
(8.566411646648293,8.164567638402053)
(8.709605059165781,8.514595585903324)
(8.582134913823925,8.075459894793038)
(10.849767775208404,10.746569351970505)
(11.347647115810986,10.035519027816157)
(10.79299288618459,10.58845437489852)
(10.719337853375627,10.637445904215067)
(12.859969587498634,12.84753705405955)
(12.981404802499672,12.081570700721592)
(12.932742386377225,12.146851796588049)
(12.139876846284741,12.110499903915581)
(12.763107704745611,12.439806639298562)
(12.943381611847682,12.175356734669592)
(14.971690280529021,14.722682707242154)
(14.956487632195655,14.639160797827293)
(14.75269886766584,14.09657924559775)
(14.572118773112186,14.11404245983326)
(14.395655662497871,14.235718953752087)
(14.704800905893457,14.613792596601826)
(14.558860049037756,14.38305137017708)
(19.581531320913136,19.554839494240753)
(19.390366853874514,19.01534469134313)
(19.46148297512463,19.094350484636287)
(19.81433370880645,19.049552523176242)
(19.8889570300046,19.619193490848367)
(19.420502229273794,19.24049966913693)
(19.776344521126294,19.55580406833068)
(19.818477863078265,19.294705898239446)
(19.108368435613105,19.040062501010667)
